Security,GICS Sub-Industry,Headquarters Location
U.S. Bank,Diversified Banks,"Minneapolis, Minnesota"
Uber,Passenger Ground Transportation,"San Francisco, California"
"UDR, Inc.",Multi-Family Residential REITs,"Highlands Ranch, Colorado"
Ulta Beauty,Other Specialty Retail,"Bolingbrook, Illinois"
Union Pacific Corporation,Rail Transportation,"Omaha, Nebraska"
United Airlines Holdings,Passenger Airlines,"Chicago, Illinois"
United Parcel Service,Air Freight & Logistics,"Sandy Springs, Georgia"
United Rentals,Trading Companies & Distributors,"Stamford, Connecticut"
UnitedHealth Group,Managed Health Care,"Minnetonka, Minnesota"
Universal Health Services,Health Care Facilities,"King of Prussia, Pennsylvania"
Valero Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
Ventas,Health Care REITs,"Chicago, Illinois"
Veralto,Environmental & Facilities Services,"Waltham, Massachusetts"
Verisign,Internet Services & Infrastructure,"Dulles, Virginia"
Verisk,Research & Consulting Services,"Jersey City, New Jersey"
Verizon,Integrated Telecommunication Services,"New York City, New York"
Vertex Pharmaceuticals,Biotechnology,"Cambridge, Massachusetts"
Viatris,Pharmaceuticals,"Pittsburgh, Pennsylvania"
Vici Properties,Hotel & Resort REITs,"New York City, New York"
Visa Inc.,Transaction & Payment Processing Services,"San Francisco, California"
Vistra,Electric Utilities,"Irving, Texas"
Vulcan Materials Company,Construction Materials,"Birmingham, Alabama"
W. R. Berkley Corporation,Property & Casualty Insurance,"Greenwich, Connecticut"
W. W. Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania"
Walgreens Boots Alliance,Drug Retail,"Deerfield, Illinois"
Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas"
Walt Disney Company (The),Movies & Entertainment,"Burbank, California"
Warner Bros. Discovery,Broadcasting,"New York City, New York"
Waste Management,Environmental & Facilities Services,"Houston, Texas"
Waters Corporation,Life Sciences Tools & Services,"Milford, Massachusetts"
WEC Energy Group,Electric Utilities,"Milwaukee, Wisconsin"
Wells Fargo,Diversified Banks,"San Francisco, California"
Welltower,Health Care REITs,"Toledo, Ohio"
West Pharmaceutical Services,Health Care Supplies,"Exton, Pennsylvania"
Western Digital,"Technology Hardware, Storage & Peripherals","San Jose, California"
WestRock,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia"
Weyerhaeuser,Timber REITs,"Seattle, Washington"
Williams Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
Willis Towers Watson,Insurance Brokers,"London, United Kingdom"
Wynn Resorts,Casinos & Gaming,"Paradise, Nevada"
Xcel Energy,Multi-Utilities,"Minneapolis, Minnesota"
Xylem Inc.,Industrial Machinery & Supplies & Components,"White Plains, New York"
Yum! Brands,Restaurants,"Louisville, Kentucky"
Zebra Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
Zimmer Biomet,Health Care Equipment,"Warsaw, Indiana"
Zoetis,Pharmaceuticals,"Parsippany, New Jersey"
