Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers
Citigroup,Diversified Banks,"New York City, New York",False
Citizens Financial Group,Regional Banks,"Providence, Rhode Island",False
Clorox,Household Products,"Oakland, California",False
CME Group,Financial Exchanges & Data,"Chicago, Illinois",False
CMS Energy,Multi-Utilities,"Jackson, Michigan",False
Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",False
Colgate-Palmolive,Household Products,"New York City, New York",False
Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",False
Comerica,Diversified Banks,"Dallas, Texas",False
Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois",False
ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",False
Consolidated Edison,Multi-Utilities,"New York City, New York",False
Constellation Brands,Distillers & Vintners,"Victor, New York",False
Constellation Energy,Electric Utilities,"Baltimore, Maryland",False
CooperCompanies,Health Care Supplies,"San Ramon, California",False
Copart,Diversified Support Services,"Dallas, Texas",False
Corning Inc.,Electronic Components,"Corning, New York",False
Corpay,Transaction & Payment Processing Services,"Atlanta, Georgia",False
Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",False
CoStar Group,Real Estate Services,"Washington, D.C.",False
Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington",False
Coterra,Oil & Gas Exploration & Production,"Houston, Texas",False
CSX,Rail Transportation,"Jacksonville, Florida",False
Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",False
CVS Health,Health Care Services,"Woonsocket, Rhode Island",False
Danaher Corporation,Life Sciences Tools & Services,"Washington, D.C.",False
Darden Restaurants,Restaurants,"Orlando, Florida",False
DaVita Inc.,Health Care Services,"Denver, Colorado",False
Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota",False
Deckers Brands,Footwear,"Goleta, California",False
John Deere,Agricultural & Farm Machinery,"Moline, Illinois",False
Delta Air Lines,Passenger Airlines,"Atlanta, Georgia",False
Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",False
Dexcom,Health Care Equipment,"San Diego, California",False
Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas",False
Discover Financial,Consumer Finance,"Riverwoods, Illinois",False
Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",False
Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",False
Dominion Energy,Multi-Utilities,"Richmond, Virginia",False
Domino's,Restaurants,"Ann Arbor, Michigan",False
Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",False
Dow Inc.,Commodity Chemicals,"Midland, Michigan",False
DR Horton,Homebuilding,"Arlington, Texas",False
DTE Energy,Multi-Utilities,"Detroit, Michigan",False
Duke Energy,Electric Utilities,"Charlotte, North Carolina",False
DuPont,Specialty Chemicals,"Wilmington, Delaware",False
Eastman Chemical Company,Specialty Chemicals,"Kingsport, Tennessee",False
Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland",False
